timestamp,protocol,length,src_ip,dst_ip,src_port,dst_port,tcp_flags
1757465612.224893,DATA,648,172.16.81.49,104.26.11.240,0,0,0
1757465612.250125,DATA,65,104.26.11.240,172.16.81.49,0,0,0
1757465612.252345,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465612.26724,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.267276,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.267277,DATA,346,104.26.11.240,172.16.81.49,0,0,0
1757465612.267539,DATA,85,172.16.81.49,104.26.11.240,0,0,0
1757465612.290767,DATA,623,172.16.81.49,104.26.11.240,0,0,0
1757465612.291036,DATA,616,172.16.81.49,104.26.11.240,0,0,0
1757465612.291118,DATA,603,172.16.81.49,104.26.11.240,0,0,0
1757465612.302457,DATA,65,104.26.11.240,172.16.81.49,0,0,0
1757465612.302915,DATA,65,104.26.11.240,172.16.81.49,0,0,0
1757465612.314835,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.314837,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.315068,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.31511,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.317163,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317164,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317166,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317168,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.31717,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317172,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317173,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317175,DATA,1174,104.26.11.240,172.16.81.49,0,0,0
1757465612.317176,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.317178,DATA,966,104.26.11.240,172.16.81.49,0,0,0
1757465612.31736,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.31738,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.317395,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.317401,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.317426,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465612.317489,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.394683,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.394685,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.395125,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.396575,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.396576,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.396577,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.396579,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.39658,DATA,855,104.26.11.240,172.16.81.49,0,0,0
1757465612.396759,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.396781,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.408801,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.408804,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.409023,DATA,88,172.16.81.49,104.26.11.240,0,0,0
1757465612.410288,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410289,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.41029,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465612.410291,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
